id	speaker_names	primary_freq
5307939	Lilly	Black Art
5307969	Shari	Black Art
5307929	Jacob, Kadaj	Across Generations
5308057	Kyle	Art Economy
5308056	Aparna	Art Economy
5307942	Grace	Local Scene 
5307918	Zebino	Gentrification
5288875	Jacob	Gentrification
5307961	Shari	Art Economy
5307919	Prophet	Gentrification
5307924	Athena	Across Generations
5288971	Kadaj	Local Scene 
5307959	Michelle, Lily	Art Economy
5308047	Emmanuel	Art to Thrive
5308049	Kyle	Local Scene 
5308104	Sheri	Beginnings
5307903	Athena, Ava	Beginnings
5308044	Kyle, Nate, Ava, Jordan	Gentrification
5307666	George	Art to Thrive
5307949	Ray Sam, Lilly	Local Scene 
5307965	Grace, Ava, Lilly	Local Scene 
5289306	Olivia	Black Art
5289307	Ivy	Beginnings
5290057	Sophia	Art Economy
5289854	Tyler	Beginnings
5291325	Dominic	Art Economy
5289040	Nate	Art Economy
5289044	Aaron	Gentrification
5289047	Aparna	Art to Thrive
5289029	Michelle	Beginnings
5289030	Michelle	Art to Thrive
5289032	Michelle	Across Generations
5289033	Grace	Black Art
5288882	Kadaj	Gentrification
5289235	Madeline	Art to Thrive
5290671	Raffi	Local Scene 
5297450	Whitney	Art to Thrive
5304206	Joanna	Local Scene 
5304247	Sarah	Art to Thrive
5308023	Farah	Local Scene 
5308033	Farah	Beginnings
5307689	Nick	Local Scene 
5307116	Bianca	Art to Thrive
5307117	Adana	Art to Thrive
